Name	WHO Region	Cases - cumulative total	Cases - cumulative total per 100000 population	Cases - newly reported in last 7 days	Cases - newly reported in last 7 days per 100000 population	Cases - newly reported in last 24 hours	Deaths - cumulative total	Deaths - cumulative total per 100000 population	Deaths - newly reported in last 7 days	Deaths - newly reported in last 7 days per 100000 population	Deaths - newly reported in last 24 hours	Transmission Classification
Saint Lucia	Americas	5,067.000	2,759.400	122.000	66.440	14.000	79.000	43.020	2.000	1.090	2.000	Community transmission
Chad	Africa	4,929.000	30.010	5.000	0.030	1.000	173.000	1.050	0.000	0.000	0.000	Community transmission
Burundi	Africa	4,790.000	40.280	244.000	2.050	36.000	6.000	0.050	0.000	0.000	0.000	Community transmission
Gibraltar	Europe	4,293.000	12,742.280	6.000	17.810	0.000	94.000	279.010	0.000	0.000	0.000	Clusters of cases
Sierra Leone	Africa	4,140.000	51.900	19.000	0.240	0.000	79.000	0.990	0.000	0.000	0.000	Community transmission
Eritrea	Africa	4,061.000	114.510	129.000	3.640	0.000	14.000	0.390	0.000	0.000	0.000	Community transmission
Barbados	Americas	4,017.000	1,397.830	19.000	6.610	5.000	47.000	16.350	0.000	0.000	0.000	Community transmission
Comoros	Africa	3,951.000	454.350	9.000	1.030	2.000	146.000	16.790	0.000	0.000	0.000	Community transmission
Guinea-Bissau	Africa	3,766.000	191.360	15.000	0.760	5.000	68.000	3.460	0.000	0.000	0.000	Community transmission
United States Virgin Islands	Americas	3,442.000	3,296.150	89.000	85.230	0.000	27.000	25.860	0.000	0.000	0.000	Community transmission
Jersey	Europe	3,243.000	3,008.460	5.000	4.640	0.000	69.000	64.010	0.000	0.000	0.000	Community transmission
Liechtenstein	Europe	3,099.000	7,998.040	7.000	18.070	0.000	57.000	147.110	0.000	0.000	0.000	Sporadic cases
Monaco	Europe	2,504.000	6,380.590	3.000	7.640	1.000	32.000	81.540	0.000	0.000	0.000	Sporadic cases
Bermuda	Americas	2,491.000	4,000.130	3.000	4.820	0.000	32.000	51.390	0.000	0.000	0.000	Community transmission
Turks and Caicos Islands	Americas	2,417.000	6,242.570	8.000	20.660	5.000	17.000	43.910	0.000	0.000	0.000	Clusters of cases
Sint Maarten	Americas	2,414.000	5,629.400	48.000	111.940	10.000	28.000	65.300	0.000	0.000	0.000	Community transmission
Sao Tome and Principe	Africa	2,345.000	1,070.000	9.000	4.110	0.000	37.000	16.880	0.000	0.000	0.000	Community transmission
New Zealand	Western Pacific	2,317.000	48.050	4.000	0.080	0.000	26.000	0.540	0.000	0.000	0.000	Sporadic cases
Liberia	Africa	2,179.000	43.080	37.000	0.730	0.000	86.000	1.700	1.000	0.020	0.000	Community transmission
Saint Vincent and the Grenadines	Americas	2,035.000	1,834.320	46.000	41.460	0.000	12.000	10.820	0.000	0.000	0.000	Community transmission
Saint Martin	Americas	2,009.000	5,196.720	114.000	294.890	0.000	15.000	38.800	0.000	0.000	0.000	Community transmission
Lao People's Democratic Republic	Western Pacific	1,912.000	26.280	90.000	1.240	1.000	3.000	0.040	1.000	0.010	0.000	Sporadic cases
Bhutan	South-East Asia	1,620.000	209.950	209.000	27.090	8.000	1.000	0.130	0.000	0.000	0.000	Clusters of cases
Isle of Man	Europe	1,592.000	1,872.240	1.000	1.180	0.000	29.000	34.100	0.000	0.000	0.000	No cases
Bonaire	Americas	1,586.000	7,583.070	3.000	14.340	1.000	17.000	81.280	0.000	0.000	0.000	Community transmission
Mauritius	Africa	1,393.000	109.530	71.000	5.580	0.000	17.000	1.340	0.000	0.000	0.000	Clusters of cases
Antigua and Barbuda	Americas	1,260.000	1,286.650	2.000	2.040	0.000	42.000	42.890	0.000	0.000	0.000	Clusters of cases
Saint Barthélemy	Americas	1,023.000	10,349.010	7.000	70.810	0.000	1.000	10.120	0.000	0.000	0.000	Clusters of cases
Guernsey	Europe	823.000	1,276.600	1.000	1.550	1.000	14.000	21.720	0.000	0.000	0.000	Community transmission
Other	Other	764.000		0.000		0.000	13.000		0.000		0.000	Not applicable
Faroe Islands	Europe	718.000	1,469.350	26.000	53.210	6.000	1.000	2.050	0.000	0.000	0.000	Sporadic cases
Cayman Islands	Americas	581.000	884.050	7.000	10.650	0.000	2.000	3.040	0.000	0.000	0.000	Sporadic cases
United Republic of Tanzania	Africa	509.000	0.850	0.000	0.000	0.000	21.000	0.040	0.000	0.000	0.000	Pending
Wallis and Futuna	Western Pacific	454.000	4,036.990	0.000	0.000	0.000	7.000	62.240	0.000	0.000	0.000	Sporadic cases
Fiji	Western Pacific	438.000	48.860	200.000	22.310	37.000	4.000	0.450	0.000	0.000	0.000	Sporadic cases
British Virgin Islands	Americas	289.000	955.780	41.000	135.600	0.000	1.000	3.310	0.000	0.000	0.000	Clusters of cases
Brunei Darussalam	Western Pacific	243.000	55.550	7.000	1.600	1.000	3.000	0.690	0.000	0.000	0.000	Sporadic cases
Dominica	Americas	188.000	261.140	4.000	5.560	0.000	0.000	0.000	0.000	0.000	0.000	Clusters of cases
Northern Mariana Islands (Commonwealth of the)	Western Pacific	183.000	317.950	2.000	3.470	0.000	2.000	3.470	0.000	0.000	0.000	Pending
Grenada	Americas	161.000	143.080	0.000	0.000	0.000	1.000	0.890	0.000	0.000	0.000	Sporadic cases
New Caledonia	Western Pacific	128.000	44.830	2.000	0.700	0.000	0.000	0.000	0.000	0.000	0.000	Sporadic cases
Anguilla	Americas	109.000	726.570	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Clusters of cases
Saint Kitts and Nevis	Americas	68.000	127.840	14.000	26.320	0.000	0.000	0.000	0.000	0.000	0.000	Clusters of cases
Falkland Islands (Malvinas)	Americas	63.000	1,808.790	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sporadic cases
Greenland	Europe	40.000	70.460	6.000	10.570	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Holy See	Europe	26.000	3,213.840	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sporadic cases
Saint Pierre and Miquelon	Americas	25.000	431.410	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Montserrat	Americas	20.000	400.080	0.000	0.000	0.000	1.000	20.000	0.000	0.000	0.000	No cases
Sint Eustatius	Americas	20.000	637.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Solomon Islands	Western Pacific	20.000	2.910	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Saba	Americas	7.000	362.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sporadic cases
Marshall Islands	Western Pacific	4.000	6.760	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Vanuatu	Western Pacific	3.000	0.980	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Samoa	Western Pacific	1.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
American Samoa	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Cook Islands	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Democratic People's Republic of Korea	South-East Asia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Kiribati	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Micronesia (Federated States of)	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Nauru	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Niue	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Palau	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Pitcairn Islands	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Saint Helena	Africa	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Tokelau	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Tonga	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Turkmenistan	Europe	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
Tuvalu	Western Pacific	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	No cases
